SKU,COST,CURRENCY,CREATED_DATE
043482211205,143.2,USD,11/10/2023 9:20:15 PM
043482215210,147.47,USD,11/10/2023 9:20:14 PM
043482215241,156.58,USD,11/10/2023 9:20:14 PM
043482215265,192.97,USD,11/10/2023 9:20:15 PM
043482215333,192.97,USD,11/10/2023 9:20:15 PM
043482215357,192.97,USD,11/10/2023 9:20:15 PM
043482215364,192.97,USD,11/10/2023 9:20:14 PM
043482215388,199.03,USD,11/10/2023 9:20:14 PM
043482215449,199.03,USD,11/10/2023 9:20:14 PM
043482215463,244.54,USD,11/10/2023 9:20:14 PM
043482215487,229.37,USD,11/10/2023 9:20:14 PM
043482215500,229.37,USD,11/10/2023 9:20:15 PM
043482215517,229.37,USD,11/10/2023 9:20:16 PM
043482215548,229.37,USD,11/10/2023 9:20:16 PM
043482219072,199.03,USD,11/10/2023 9:20:14 PM
043482219843,202.06,USD,11/10/2023 9:20:15 PM
043482219874,202.06,USD,11/10/2023 9:20:16 PM
043482220009,238.47,USD,11/10/2023 9:20:14 PM
043482220023,238.47,USD,11/10/2023 9:20:15 PM
043482220047,238.47,USD,11/10/2023 9:20:16 PM
043482220108,244.54,USD,11/10/2023 9:20:15 PM
043482220153,244.54,USD,11/10/2023 9:20:15 PM
043482220160,244.54,USD,11/10/2023 9:20:14 PM
043482220238,277.89,USD,11/10/2023 9:20:14 PM
043482220245,277.89,USD,11/10/2023 9:20:15 PM
043482220399,150.51,USD,11/10/2023 9:20:15 PM
043482220405,153.54,USD,11/10/2023 9:20:15 PM
043482220481,208.14,USD,11/10/2023 9:20:15 PM
043482220573,244.54,USD,11/10/2023 9:20:16 PM
043482220658,287.02,USD,11/10/2023 9:20:15 PM
043482220887,195.68,USD,11/10/2023 9:20:15 PM
043482220962,234.39,USD,11/10/2023 9:20:15 PM
043482221143,153.54,USD,11/10/2023 9:20:16 PM
043482221174,159.61,USD,11/10/2023 9:20:15 PM
043482221235,150.51,USD,11/10/2023 9:20:16 PM
043482221303,238.47,USD,11/10/2023 9:20:16 PM
043482222843,178.23,USD,11/10/2023 9:20:15 PM
043482224137,151.09,USD,11/10/2023 9:20:16 PM
043482224168,196.59,USD,11/10/2023 9:20:15 PM
043482224755,153.58,USD,11/10/2023 9:20:15 PM
043482224786,161.81,USD,11/10/2023 9:20:16 PM
043482224809,207.94,USD,11/10/2023 9:20:16 PM
043482225141,250.98,USD,11/10/2023 9:20:15 PM
043482225394,150.51,USD,11/10/2023 9:20:16 PM
043482225417,153.54,USD,11/10/2023 9:20:15 PM
043482225790,244.54,USD,11/10/2023 9:20:16 PM
043482226353,147.47,USD,11/10/2023 9:20:16 PM
043482226360,151.09,USD,11/10/2023 9:20:15 PM
043482226377,147.47,USD,11/10/2023 9:20:15 PM
043482226551,166.06,USD,11/10/2023 9:20:16 PM
043482226803,229.37,USD,11/10/2023 9:20:16 PM
043482226919,18.06,USD,11/10/2023 9:20:15 PM
046074017186,21.63,USD,11/10/2023 9:20:16 PM
046074021626,409.35,USD,11/10/2023 9:20:15 PM
046074022258,45.620000000000005,USD,11/10/2023 9:20:17 PM
046074022371,68.0,USD,11/10/2023 9:20:16 PM
046074023927,56.18,USD,11/10/2023 9:20:16 PM
046074026041,26.72,USD,11/10/2023 9:20:16 PM
046074026973,38.07,USD,11/10/2023 9:20:16 PM
046074032202,469.92,USD,11/10/2023 9:20:16 PM
046074032264,77.28,USD,11/10/2023 9:20:17 PM
046074036705,65.58,USD,11/10/2023 9:20:16 PM
046074052279,74.52000000000001,USD,11/10/2023 9:20:15 PM
046074052903,333.2,USD,11/10/2023 9:20:16 PM
046074053276,73.78999999999999,USD,11/10/2023 9:20:17 PM
046074053818,73.52000000000001,USD,11/10/2023 9:20:17 PM
046074061486,96.08,USD,11/10/2023 9:20:16 PM
046074070068,326.0,USD,11/10/2023 9:20:16 PM
046074070082,645.9,USD,11/10/2023 9:20:16 PM
046074070099,667.2,USD,11/10/2023 9:20:16 PM
046074070129,657.76,USD,11/10/2023 9:20:16 PM
046074070921,281.45,USD,11/10/2023 9:20:17 PM
046074075377,260.82,USD,11/10/2023 9:20:16 PM
046074083051,112.66,USD,11/10/2023 9:20:16 PM
046074083440,308.38,USD,11/10/2023 9:20:17 PM
046074083860,23.07,USD,11/10/2023 9:20:18 PM
046074084638,47.67,USD,11/10/2023 9:20:16 PM
046074091094,235.09,USD,11/10/2023 9:20:16 PM
